historical_agent_name,historical_file,catalog_agent_id,catalog_canonical_name,surface,domain,family,historical_prompt_status,migration_decision,prompt_reusability,refoundation_alignment,contradictions,obsolete_sections,missing_sections,security_risks,authority_risks,tooling_assumptions,memory_assumptions,runtime_assumptions,recommended_action,target_wave,review_status,notes
Especialista en Gamificación y Retención,11_ESPECIALISTA_EN_GAMIFICACION_Y_RETENCION.md,AG-PRO-0009,historical.especialista_en_gamificaci_n_y_retenci_n,PRODUCT,historical_capabilities,especialista_en_gamificaci_n_y_retenci_n,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Growth y Métricas de Producto,12_ESPECIALISTA_EN_GROWTH_Y_METRICAS_DE_PRODUCTO.md,AG-ADM-0002,historical.especialista_en_growth_y_m_tricas_de_producto,ADMINISTRATION,historical_capabilities,especialista_en_growth_y_m_tricas_de_producto,PROMPT_CREATED,RECLASSIFY,PARTIALLY_REUSABLE,REQUIRES_RECLASSIFICATION,Historical surface classification conflicts with the approved Re-foundation ownership model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Reclassify ownership first, then extract reusable role content into a new layered prompt during WAVE_6.",WAVE_6,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Arquitecto Principal,13_ARQUITECTO_PRINCIPAL.md,AG-DEV-0003,historical.arquitecto_principal,DEVELOPMENT,historical_capabilities,arquitecto_principal,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Arquitecto Flutter,14_ARQUITECTO_FLUTTER.md,AG-DEV-0004,historical.arquitecto_flutter,DEVELOPMENT,historical_capabilities,arquitecto_flutter,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes code, Flutter and design tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Arquitecto Backend,15_ARQUITECTO_BACKEND.md,AG-DEV-0005,historical.arquitecto_backend,DEVELOPMENT,historical_capabilities,arquitecto_backend,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.",Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes backend, database or platform tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Arquitecto Multiagente,16_ARQUITECTO_MULTIAGENTE.md,AG-DEV-0006,historical.arquitecto_multiagente,DEVELOPMENT,historical_capabilities,arquitecto_multiagente,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes model, agent or evaluation tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista MCP,17_ESPECIALISTA_MCP.md,AG-DEV-0007,historical.especialista_mcp,DEVELOPMENT,historical_capabilities,especialista_mcp,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes model, agent or evaluation tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Seguridad y Privacidad,18_ESPECIALISTA_EN_SEGURIDAD_Y_PRIVACIDAD.md,AG-TRV-0004,historical.especialista_en_seguridad_y_privacidad,TRANSVERSAL,historical_capabilities,especialista_en_seguridad_y_privacidad,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.",Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_2.",WAVE_2,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Datos y Memoria,19_ESPECIALISTA_EN_DATOS_Y_MEMORIA.md,AG-DEV-0008,historical.especialista_en_datos_y_memoria,DEVELOPMENT,historical_capabilities,especialista_en_datos_y_memoria,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.","Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes backend, database or platform tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Ingeniero LLM,20_INGENIERO_LLM.md,AG-DEV-0009,historical.ingeniero_llm,DEVELOPMENT,historical_capabilities,ingeniero_llm,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes model, agent or evaluation tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Prompt Engineer,21_PROMPT_ENGINEER.md,AG-DEV-0010,historical.prompt_engineer,DEVELOPMENT,historical_capabilities,prompt_engineer,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes model, agent or evaluation tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Testing de LLMs,22_ESPECIALISTA_EN_TESTING_DE_LLMS.md,AG-DEV-0011,historical.especialista_en_testing_de_llms,DEVELOPMENT,historical_capabilities,especialista_en_testing_de_llms,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes model, agent or evaluation tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Sistemas de Recomendación,23_ESPECIALISTA_EN_SISTEMAS_DE_RECOMENDACION.md,AG-PRO-0010,historical.especialista_en_sistemas_de_recomendaci_n,PRODUCT,historical_capabilities,especialista_en_sistemas_de_recomendaci_n,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.","Role may touch sensitive systems or data; future prompt must bind resource, environment, data class and deny-by-default tool policy.","Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Calidad de Datos y Pipelines,24_ESPECIALISTA_EN_CALIDAD_DE_DATOS_Y_PIPELINES.md,AG-DEV-0012,historical.especialista_en_calidad_de_datos_y_pipelines,DEVELOPMENT,historical_capabilities,especialista_en_calidad_de_datos_y_pipelines,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes backend, database or platform tooling without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_3.",WAVE_3,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
