"family_prompt_id","canonical_family_name","surface","domain","member_count","risk_range","base_authority","base_data_ceiling","base_tool_ceiling","base_memory_ceiling","member_data_classes","member_tool_classes","member_memory_scopes","required_modules","exceptions","owner","status"
"FAM-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-SOCIAL-MEDIA-v1","social_media","ADMINISTRATION","crm_search_social_influence","6","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-SOCIAL-MEDIA-v1","NONE","AG-ADM-0631","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-ADOPTION-v1","adoption","ADMINISTRATION","customer_success_support","11","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-ADOPTION-v1","NONE","AG-ADM-0216","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-CASE-MANAGEMENT-v1","case_management","ADMINISTRATION","customer_success_support","11","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-CASE-MANAGEMENT-v1","NONE","AG-ADM-0216","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-CUSTOMER-SUCCESS-v1","customer_success","ADMINISTRATION","customer_success_support","11","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-CUSTOMER-SUCCESS-v1","NONE","AG-ADM-0001","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-CUSTOMER-SUPPORT-v1","customer_support","ADMINISTRATION","customer_success_support","11","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-CUSTOMER-SUPPORT-v1","NONE","AG-ADM-0216","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-EXPANSION-SUPPORT-v1","expansion_support","ADMINISTRATION","customer_success_support","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-EXPANSION-SUPPORT-v1","NONE","AG-ADM-0216","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-ONBOARDING-v1","onboarding","ADMINISTRATION","customer_success_support","11","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-ONBOARDING-v1","NONE","AG-ADM-0216","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-RETENTION-SERVICE-v1","retention_service","ADMINISTRATION","customer_success_support","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-RETENTION-SERVICE-v1","NONE","AG-ADM-0216","APPROVED"
"FAM-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-SATISFACTION-v1","satisfaction","ADMINISTRATION","customer_success_support","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CUSTOMER-SUCCESS-SUPPORT-SATISFACTION-v1","NONE","AG-ADM-0216","APPROVED"
"FAM-ADMINISTRATION-FRAUD-RISK-FRAUD-PREVENTION-v1","fraud_prevention","ADMINISTRATION","fraud_risk","8","HIGH","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","SECURITY_RESTRICTED_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-FRAUD-RISK-FRAUD-PREVENTION-v1","NONE","AG-ADM-0001","APPROVED"
"FAM-ADMINISTRATION-FRAUD-RISK-INVESTIGATION-SUPPORT-v1","investigation_support","ADMINISTRATION","fraud_risk","8","HIGH","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","SECURITY_RESTRICTED_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-FRAUD-RISK-INVESTIGATION-SUPPORT-v1","NONE","AG-ADM-0391","APPROVED"
"FAM-ADMINISTRATION-FRAUD-RISK-RISK-ASSESSMENT-v1","risk_assessment","ADMINISTRATION","fraud_risk","8","HIGH","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","SECURITY_RESTRICTED_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-FRAUD-RISK-RISK-ASSESSMENT-v1","NONE","AG-ADM-0391","APPROVED"
"FAM-ADMINISTRATION-FRAUD-RISK-RISK-CONTROLS-v1","risk_controls","ADMINISTRATION","fraud_risk","8","HIGH","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","SECURITY_RESTRICTED_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-FRAUD-RISK-RISK-CONTROLS-v1","NONE","AG-ADM-0391","APPROVED"
"FAM-ADMINISTRATION-FRAUD-RISK-TRANSACTION-MONITORING-v1","transaction_monitoring","ADMINISTRATION","fraud_risk","8","HIGH","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","SECURITY_RESTRICTED_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-FRAUD-RISK-TRANSACTION-MONITORING-v1","NONE","AG-ADM-0391","APPROVED"
"FAM-ADMINISTRATION-GROWTH-LIFECYCLE-ACQUISITION-v1","acquisition","ADMINISTRATION","growth_lifecycle","9","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-GROWTH-LIFECYCLE-ACQUISITION-v1","NONE","AG-ADM-0571","APPROVED"
"FAM-ADMINISTRATION-GROWTH-LIFECYCLE-ACTIVATION-v1","activation","ADMINISTRATION","growth_lifecycle","9","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-GROWTH-LIFECYCLE-ACTIVATION-v1","NONE","AG-ADM-0571","APPROVED"
"FAM-ADMINISTRATION-GROWTH-LIFECYCLE-CONVERSION-OPTIMIZATION-v1","conversion_optimization","ADMINISTRATION","growth_lifecycle","8","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-GROWTH-LIFECYCLE-CONVERSION-OPTIMIZATION-v1","NONE","AG-ADM-0571","APPROVED"
"FAM-ADMINISTRATION-GROWTH-LIFECYCLE-EXPERIMENTATION-v1","experimentation","ADMINISTRATION","growth_lifecycle","8","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-GROWTH-LIFECYCLE-EXPERIMENTATION-v1","NONE","AG-ADM-0571","APPROVED"
"FAM-ADMINISTRATION-GROWTH-LIFECYCLE-GROWTH-STRATEGY-v1","growth_strategy","ADMINISTRATION","growth_lifecycle","9","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-GROWTH-LIFECYCLE-GROWTH-STRATEGY-v1","NONE","AG-ADM-0001","APPROVED"
"FAM-ADMINISTRATION-GROWTH-LIFECYCLE-LIFECYCLE-MARKETING-v1","lifecycle_marketing","ADMINISTRATION","growth_lifecycle","8","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-GROWTH-LIFECYCLE-LIFECYCLE-MARKETING-v1","NONE","AG-ADM-0571","APPROVED"
"FAM-ADMINISTRATION-GROWTH-LIFECYCLE-RETENTION-v1","retention","ADMINISTRATION","growth_lifecycle","9","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-GROWTH-LIFECYCLE-RETENTION-v1","NONE","AG-ADM-0571","APPROVED"
"FAM-ADMINISTRATION-MARKETING-ADVERTISING-BRAND-MANAGEMENT-v1","brand_management","ADMINISTRATION","marketing_advertising","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MARKETING-ADVERTISING-BRAND-MANAGEMENT-v1","NONE","AG-ADM-0501","APPROVED"
"FAM-ADMINISTRATION-MARKETING-ADVERTISING-CAMPAIGN-OPERATIONS-v1","campaign_operations","ADMINISTRATION","marketing_advertising","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MARKETING-ADVERTISING-CAMPAIGN-OPERATIONS-v1","NONE","AG-ADM-0501","APPROVED"
"FAM-ADMINISTRATION-MARKETING-ADVERTISING-CHANNEL-PLANNING-v1","channel_planning","ADMINISTRATION","marketing_advertising","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MARKETING-ADVERTISING-CHANNEL-PLANNING-v1","NONE","AG-ADM-0501","APPROVED"
"FAM-ADMINISTRATION-MARKETING-ADVERTISING-CONTENT-MARKETING-v1","content_marketing","ADMINISTRATION","marketing_advertising","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MARKETING-ADVERTISING-CONTENT-MARKETING-v1","NONE","AG-ADM-0501","APPROVED"
"FAM-ADMINISTRATION-MARKETING-ADVERTISING-MARKETING-MEASUREMENT-v1","marketing_measurement","ADMINISTRATION","marketing_advertising","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MARKETING-ADVERTISING-MARKETING-MEASUREMENT-v1","NONE","AG-ADM-0501","APPROVED"
"FAM-ADMINISTRATION-MARKETING-ADVERTISING-MARKETING-STRATEGY-v1","marketing_strategy","ADMINISTRATION","marketing_advertising","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-MARKETING-ADVERTISING-MARKETING-STRATEGY-v1","NONE","AG-ADM-0001","APPROVED"
"FAM-ADMINISTRATION-MARKETING-ADVERTISING-PAID-ADVERTISING-v1","paid_advertising","ADMINISTRATION","marketing_advertising","10","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MARKETING-ADVERTISING-PAID-ADVERTISING-v1","NONE","AG-ADM-0501","APPROVED"
"FAM-ADMINISTRATION-MODERATION-TRUST-SAFETY-ABUSE-RESPONSE-v1","abuse_response","ADMINISTRATION","moderation_trust_safety","9","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MODERATION-TRUST-SAFETY-ABUSE-RESPONSE-v1","NONE","AG-ADM-0301","APPROVED"
"FAM-ADMINISTRATION-MODERATION-TRUST-SAFETY-COMMUNITY-STANDARDS-v1","community_standards","ADMINISTRATION","moderation_trust_safety","9","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-MODERATION-TRUST-SAFETY-COMMUNITY-STANDARDS-v1","NONE","AG-ADM-0301","APPROVED"
"FAM-ADMINISTRATION-MODERATION-TRUST-SAFETY-CONTENT-MODERATION-v1","content_moderation","ADMINISTRATION","moderation_trust_safety","9","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-MODERATION-TRUST-SAFETY-CONTENT-MODERATION-v1","NONE","AG-ADM-0001","APPROVED"
